observationID,deploymentID,sequenceID,mediaID,timestamp,observationType,cameraSetup,taxonID,scientificName,count,countNew,lifeStage,sex,behaviour,individualID,classificationMethod,classifiedBy,classificationTimestamp,classificationConfidence,comments,_id,speed,radius,angle
1e158114-10b0-4729-8c77-4bc04d6f3a09,0d620d0e-5da8-42e6-bcf2-56c11fb3d08e,a0d43340-d884-445a-b362-1d003621414c,,2017-10-02T19:06:43+01:00,animal,False,5BSG3,Vulpes vulpes,1,,,,,,human,Marcus Rowcliffe,2022-12-12T09:56:20Z,,Not enough positions,,,,
c14a9161-0ff6-4f82-b8a9-c0971d406f24,0d620d0e-5da8-42e6-bcf2-56c11fb3d08e,a0d43340-d884-445a-b362-1d003621414c,,2017-10-02T19:06:43+01:00,animal,False,5BSG3,Vulpes vulpes,1,,,,,,human,Marcus Rowcliffe,2022-12-09T14:26:29Z,,,,0.6463906945,1.4520719099,0.5841586781
0d1c16b7-e844-47c4-a665-8e580636995e,0d620d0e-5da8-42e6-bcf2-56c11fb3d08e,9f216c2d-140f-4dae-adce-d05137249da6,,2017-10-03T06:17:04+01:00,unclassified,False,,,1,,,,,,human,Marcus Rowcliffe,2022-12-09T14:15:49Z,,,,,,
5d1e7ff4-6a4c-4a5a-8085-f7133e3f43da,0d620d0e-5da8-42e6-bcf2-56c11fb3d08e,2ac0a335-6eea-4729-bc50-c7604024cf22,,2017-10-12T20:11:44+01:00,animal,False,5BSG3,Vulpes vulpes,1,,,,,,human,Marcus Rowcliffe,2022-12-09T14:27:48Z,,Not enough positions,,,,
07ef4706-cdcc-4dd7-a185-cded9be2c612,6c920a31-cf07-496f-aa4f-846a428f450a,90227e8b-9fe2-4f57-914d-b48685f84a81,,2017-10-12T12:09:35+01:00,unclassified,False,,,1,,,,,,human,Marcus Rowcliffe,2022-12-12T10:36:05Z,,,,,,
3cf8e016-862f-4d5d-878f-22e982e070cf,6c920a31-cf07-496f-aa4f-846a428f450a,1f96b0ce-6d21-44e9-a880-90b388180052,,2017-10-19T06:23:11+01:00,animal,False,3B2C2,Erinaceus europaeus,1,,unknown,unknown,,,human,Marcus Rowcliffe,2022-12-12T09:49:18Z,,,,0.45449273020000003,2.0124111889,-0.0390168406
9f92e1ac-350b-4675-b630-bc306964af5e,c95a566f-e75e-4e7b-a905-0479c8770da3,9d23d5e7-25f8-479b-8d9c-7a32d14bc070,,2017-10-24T06:10:55+01:00,unclassified,False,,,1,,,,,,human,Marcus Rowcliffe,2022-12-12T10:04:55Z,,,,,,
b589a500-c933-4f65-91c7-b7f374436bff,c95a566f-e75e-4e7b-a905-0479c8770da3,7b8b14e8-9fae-4ccb-9eab-c59676664564,,2017-10-26T20:11:30+01:00,animal,False,5BSG3,Vulpes vulpes,1,,,,,,human,Marcus Rowcliffe,2022-12-09T14:30:39Z,,,,0.5610992009,1.4157276831,0.0557904356
e7d5757c-f7b1-4f70-a24a-02d3e389b606,c95a566f-e75e-4e7b-a905-0479c8770da3,a45542b5-d041-488c-aed5-8597911be0ab,,2017-10-28T19:17:38+01:00,animal,False,5BSG3,Vulpes vulpes,1,,,,,,human,Marcus Rowcliffe,2022-12-09T14:29:35Z,,,,,3.3164905345999998,0.0842326184
1d4fff95-8a57-49ce-a184-592fd7d4a64c,d6d42e25-be43-4820-909d-708e42219a86,d9d0a6d9-3efc-4d0c-9bbb-06f0a7141fa7,,2017-10-12T11:37:35+01:00,unclassified,False,,,1,,,,,,human,Marcus Rowcliffe,2022-12-12T10:18:27Z,,,,,,
dec8dfe7-80bc-46c1-bf12-e01c25357a53,d6d42e25-be43-4820-909d-708e42219a86,51828aba-7f5e-491d-83a2-0a1bd48bec72,,2017-10-12T21:56:49+01:00,animal,False,5BSG3,Vulpes vulpes,1,,,,,,human,Marcus Rowcliffe,2022-12-09T14:31:53Z,,Not enough positions,,,,
0f827364-57a4-4f77-8b5b-deb834797a61,d6d42e25-be43-4820-909d-708e42219a86,65417b49-8f68-4275-8c7e-371a003cdb9b,,2017-10-13T02:08:43+01:00,animal,False,5BSG3,Vulpes vulpes,1,,,,,,human,Marcus Rowcliffe,2022-12-09T14:33:16Z,,,,1.5479978913,6.7301063473,-0.1513269984
fda4c22f-e4ea-4f1a-8782-edff352df679,d6d42e25-be43-4820-909d-708e42219a86,8e6bac9e-3b4d-4124-96d0-5b84711f6b20,,2017-10-15T04:08:10+01:00,animal,False,5BSG3,Vulpes vulpes,1,,,,,,human,Marcus Rowcliffe,2022-12-09T14:37:49Z,,Not enough positions,,,,
658fe9b5-80bc-4ae7-b40d-e3be798b7bf9,d6d42e25-be43-4820-909d-708e42219a86,25c44a0a-e861-49af-ba60-a795e2fe2156,,2017-10-16T20:48:29+01:00,animal,False,5BSG3,Vulpes vulpes,1,,,,,,human,Marcus Rowcliffe,2022-12-09T14:38:02Z,,Not enough positions,,,,
5c307f24-fe0a-4747-beeb-6fde523e7568,d6d42e25-be43-4820-909d-708e42219a86,57da0ff9-f45f-481c-95a8-55bc84e916b8,,2017-10-17T20:18:00+01:00,animal,False,5BSG3,Vulpes vulpes,1,,,,,,human,Marcus Rowcliffe,2022-12-09T14:38:45Z,,,,1.4261731744000001,7.2268634395,0.0579782958
245a277f-e49d-4170-9c18-56af9395afc4,d6d42e25-be43-4820-909d-708e42219a86,0def7979-69d6-4f15-b179-8614c9af5180,,2017-10-17T20:50:01+01:00,animal,False,3B2C2,Erinaceus europaeus,1,,,,,,human,Marcus Rowcliffe,2022-12-09T14:39:44Z,,,,0.764678398,3.2918123022,-0.247592848
